INSERT INTO `phong`(`MaSoPhong`, `Day`, `Tang`, `LoaiPhong`, `GiaPhong`, `TinhTrangSuDung`, `SoNguoiTrongPhong`) VALUES 
('101','1','1','4','240','true','0'),
('102','1','1','4','240','true','0'),
('103','1','1','4','240','true','0'),
('104','1','1','4','240','true','0'),
('105','1','1','4','240','true','0'),
('106','1','1','4','240','true','0'),
('107','1','1','4','240','true','0'),
('108','1','1','4','240','true','0'),
('109','1','1','4','240','true','0'),
('110','1','1','4','240','true','0'),
('111','1','1','6','160','true','0'),
('112','1','1','6','160','true','0'),
('113','1','1','6','160','true','0'),
('114','1','1','6','160','true','0'),
('115','1','1','6','160','true','0'),
('116','1','1','8','120','true','0'),
('117','1','1','8','120','true','0'),
('118','1','1','8','120','true','0'),
('119','1','1','8','120','true','0'),
('120','1','1','8','120','true','0'),
('201','1','2','4','240','true','0'),
('202','1','2','4','240','true','0'),
('203','1','2','4','240','true','0'),
('204','1','2','4','240','true','0'),
('205','1','2','4','240','true','0'),
('206','1','2','4','240','true','0'),
('207','1','2','4','240','true','0'),
('208','1','2','4','240','true','0'),
('209','1','2','4','240','true','0'),
('210','1','2','4','240','true','0'),
('211','1','2','6','160','true','0'),
('212','1','2','6','160','true','0'),
('213','1','2','6','160','true','0'),
('214','1','2','6','160','true','0'),
('215','1','2','6','160','true','0'),
('216','1','2','8','120','true','0'),
('217','1','2','8','120','true','0'),
('218','1','2','8','120','true','0'),
('219','1','2','8','120','true','0'),
('220','1','2','8','120','true','0'),
('301','1','3','4','240','true','0'),
('302','1','3','4','240','true','0'),
('303','1','3','4','240','true','0'),
('304','1','3','4','240','true','0'),
('305','1','3','4','240','true','0'),
('306','1','3','4','240','true','0'),
('307','1','3','4','240','true','0'),
('308','1','3','4','240','true','0'),
('309','1','3','4','240','true','0'),
('310','1','3','4','240','true','0'),
('311','1','3','6','160','true','0'),
('312','1','3','6','160','true','0'),
('313','1','3','6','160','true','0'),
('314','1','3','6','160','true','0'),
('315','1','3','6','160','true','0'),
